"Notes"	"State"	"State Code"	"Month Day, Year"	"Month Day, Year Code"	Avg Fine Particulate Matter (µg/m³)	# of Observations for Fine Particulate Matter	Min Fine Particulate Matter	Max Fine Particulate Matter	Avg Fine Particulate Matter Standard Deviation
	"Iowa"	"19"	"Mar 25, 2011"	"2011/03/25"	22.36	1593	19.90	25.40	1.22
	"Iowa"	"19"	"Mar 26, 2011"	"2011/03/26"	10.98	1593	8.90	16.60	1.45
	"Iowa"	"19"	"Mar 27, 2011"	"2011/03/27"	11.34	1593	6.80	17.10	1.71
	"Iowa"	"19"	"Mar 28, 2011"	"2011/03/28"	12.64	1593	11.00	14.90	0.63
	"Iowa"	"19"	"Mar 29, 2011"	"2011/03/29"	12.16	1593	9.60	15.70	1.02
	"Iowa"	"19"	"Mar 30, 2011"	"2011/03/30"	8.23	1593	6.00	10.80	1.08
	"Iowa"	"19"	"Mar 31, 2011"	"2011/03/31"	22.23	1593	16.00	28.50	2.52
	"Iowa"	"19"	"Apr 01, 2011"	"2011/04/01"	9.14	1593	8.10	10.80	0.60
	"Iowa"	"19"	"Apr 02, 2011"	"2011/04/02"	6.50	1593	6.00	7.90	0.33
	"Iowa"	"19"	"Apr 03, 2011"	"2011/04/03"	14.46	1593	7.40	19.60	2.39
	"Iowa"	"19"	"Apr 04, 2011"	"2011/04/04"	6.01	1593	5.30	7.90	0.58
	"Iowa"	"19"	"Apr 05, 2011"	"2011/04/05"	5.54	1593	3.50	6.90	0.77
	"Iowa"	"19"	"Apr 06, 2011"	"2011/04/06"	5.45	1593	3.60	7.70	0.95
	"Iowa"	"19"	"Apr 07, 2011"	"2011/04/07"	12.98	1593	10.60	15.60	1.08
	"Iowa"	"19"	"Apr 08, 2011"	"2011/04/08"	15.73	1593	8.80	22.10	2.71
	"Iowa"	"19"	"Apr 09, 2011"	"2011/04/09"	16.70	1593	11.70	22.20	2.97
	"Iowa"	"19"	"Apr 10, 2011"	"2011/04/10"	10.07	1593	3.50	17.70	3.26
	"Iowa"	"19"	"Apr 11, 2011"	"2011/04/11"	4.06	1593	2.40	6.60	0.85
	"Iowa"	"19"	"Apr 12, 2011"	"2011/04/12"	10.09	1593	8.80	11.40	0.43
	"Iowa"	"19"	"Apr 13, 2011"	"2011/04/13"	13.16	1593	6.30	17.20	2.20
	"Iowa"	"19"	"Apr 14, 2011"	"2011/04/14"	15.39	1593	11.20	20.30	1.85
	"Iowa"	"19"	"Apr 15, 2011"	"2011/04/15"	5.71	1593	3.70	7.50	0.76
	"Iowa"	"19"	"Apr 16, 2011"	"2011/04/16"	7.85	1593	6.30	10.00	0.89
	"Iowa"	"19"	"Apr 17, 2011"	"2011/04/17"	12.61	1593	6.60	18.80	3.43
	"Iowa"	"19"	"Apr 18, 2011"	"2011/04/18"	14.42	1593	12.90	16.40	0.69
	"Iowa"	"19"	"Apr 19, 2011"	"2011/04/19"	9.05	1593	0.00	13.60	2.68
	"Iowa"	"19"	"Apr 20, 2011"	"2011/04/20"	5.53	1593	0.50	7.30	1.45
	"Iowa"	"19"	"Apr 21, 2011"	"2011/04/21"	15.79	1593	5.00	23.60	4.11
	"Iowa"	"19"	"Apr 22, 2011"	"2011/04/22"	9.81	1593	4.30	13.50	1.35
	"Iowa"	"19"	"Apr 23, 2011"	"2011/04/23"	4.98	1593	0.00	8.80	2.16
	"Iowa"	"19"	"Apr 24, 2011"	"2011/04/24"	11.59	1593	6.50	15.10	1.67
	"Iowa"	"19"	"Apr 25, 2011"	"2011/04/25"	6.74	1593	0.70	14.30	3.11
	"Iowa"	"19"	"Apr 26, 2011"	"2011/04/26"	2.85	1593	0.00	5.50	0.98
	"Iowa"	"19"	"Apr 27, 2011"	"2011/04/27"	0.86	1593	0.00	3.80	1.19
	"Iowa"	"19"	"Apr 28, 2011"	"2011/04/28"	3.67	1593	2.40	5.80	0.73
	"Iowa"	"19"	"Apr 29, 2011"	"2011/04/29"	9.76	1593	4.30	16.50	2.89
	"Iowa"	"19"	"Apr 30, 2011"	"2011/04/30"	10.08	1593	7.10	13.50	1.20
	"Iowa"	"19"	"May 01, 2011"	"2011/05/01"	5.32	1593	1.30	12.70	2.06
	"Iowa"	"19"	"May 02, 2011"	"2011/05/02"	5.48	1593	3.50	7.50	0.78
	"Iowa"	"19"	"May 03, 2011"	"2011/05/03"	6.92	1593	5.60	10.60	0.91
	"Iowa"	"19"	"May 04, 2011"	"2011/05/04"	8.82	1593	5.60	12.00	1.56
	"Iowa"	"19"	"May 05, 2011"	"2011/05/05"	10.78	1593	8.60	13.50	1.22
	"Iowa"	"19"	"May 06, 2011"	"2011/05/06"	2.92	1593	0.70	8.60	1.94
	"Iowa"	"19"	"May 07, 2011"	"2011/05/07"	13.43	1593	9.80	19.30	2.44
	"Iowa"	"19"	"May 08, 2011"	"2011/05/08"	11.40	1593	8.70	14.70	1.48
	"Iowa"	"19"	"May 09, 2011"	"2011/05/09"	20.53	1593	14.00	26.30	3.03
	"Iowa"	"19"	"May 10, 2011"	"2011/05/10"	13.87	1593	12.10	17.30	1.30
	"Iowa"	"19"	"May 11, 2011"	"2011/05/11"	5.55	1593	0.00	11.80	2.71
	"Iowa"	"19"	"May 12, 2011"	"2011/05/12"	9.69	1593	6.40	15.50	2.18
	"Iowa"	"19"	"May 13, 2011"	"2011/05/13"	1.98	1593	0.00	7.90	2.11
	"Iowa"	"19"	"May 14, 2011"	"2011/05/14"	7.83	1593	6.70	10.20	0.74
	"Iowa"	"19"	"May 15, 2011"	"2011/05/15"	5.00	1593	2.20	7.10	1.21
	"Iowa"	"19"	"May 16, 2011"	"2011/05/16"	3.80	1593	2.50	4.90	0.49
	"Iowa"	"19"	"May 17, 2011"	"2011/05/17"	5.23	1593	2.70	8.00	1.12
	"Iowa"	"19"	"May 18, 2011"	"2011/05/18"	5.80	1593	3.50	8.50	0.95
	"Iowa"	"19"	"May 19, 2011"	"2011/05/19"	8.73	1593	7.30	10.20	0.62
	"Iowa"	"19"	"May 20, 2011"	"2011/05/20"	17.09	1593	15.80	18.80	0.56
	"Iowa"	"19"	"May 21, 2011"	"2011/05/21"	9.32	1593	4.90	11.90	1.25
	"Iowa"	"19"	"May 22, 2011"	"2011/05/22"	11.23	1593	8.80	16.00	1.39
	"Iowa"	"19"	"May 23, 2011"	"2011/05/23"	9.86	1593	6.20	12.80	1.24
	"Iowa"	"19"	"May 24, 2011"	"2011/05/24"	13.58	1593	11.60	15.30	0.81
	"Iowa"	"19"	"May 25, 2011"	"2011/05/25"	9.01	1593	2.70	11.90	1.73
	"Iowa"	"19"	"May 26, 2011"	"2011/05/26"	9.06	1593	7.50	11.30	0.72
	"Iowa"	"19"	"May 27, 2011"	"2011/05/27"	4.26	1593	0.00	8.00	1.86
	"Iowa"	"19"	"May 28, 2011"	"2011/05/28"	7.92	1593	5.50	13.10	1.26
	"Iowa"	"19"	"May 29, 2011"	"2011/05/29"	8.98	1593	7.10	12.10	1.20
	"Iowa"	"19"	"May 30, 2011"	"2011/05/30"	9.47	1593	6.60	17.50	2.41
	"Iowa"	"19"	"May 31, 2011"	"2011/05/31"	2.32	1593	0.90	4.50	0.92
	"Iowa"	"19"	"Jun 01, 2011"	"2011/06/01"	10.70	1593	8.20	15.10	1.68
	"Iowa"	"19"	"Jun 02, 2011"	"2011/06/02"	27.96	1593	18.80	40.00	3.61
	"Iowa"	"19"	"Jun 03, 2011"	"2011/06/03"	16.40	1593	7.20	39.20	7.11
	"Iowa"	"19"	"Jun 04, 2011"	"2011/06/04"	20.32	1593	8.80	33.40	4.25
	"Iowa"	"19"	"Jun 05, 2011"	"2011/06/05"	16.83	1593	12.90	20.90	1.52
	"Iowa"	"19"	"Jun 06, 2011"	"2011/06/06"	14.73	1593	4.60	27.60	4.64
	"Iowa"	"19"	"Jun 07, 2011"	"2011/06/07"	11.37	1593	7.00	18.10	2.83
	"Iowa"	"19"	"Jun 08, 2011"	"2011/06/08"	25.17	1593	16.10	35.80	5.87
	"Iowa"	"19"	"Jun 09, 2011"	"2011/06/09"	24.69	1593	9.00	42.70	7.87
	"Iowa"	"19"	"Jun 10, 2011"	"2011/06/10"	12.46	1593	7.30	20.50	2.56
	"Iowa"	"19"	"Jun 11, 2011"	"2011/06/11"	17.36	1593	15.40	19.10	0.65
	"Iowa"	"19"	"Jun 12, 2011"	"2011/06/12"	12.28	1593	8.90	15.90	1.48
	"Iowa"	"19"	"Jun 13, 2011"	"2011/06/13"	21.95	1593	19.70	24.20	0.72
	"Iowa"	"19"	"Jun 14, 2011"	"2011/06/14"	24.05	1593	21.70	26.90	0.95
	"Iowa"	"19"	"Jun 15, 2011"	"2011/06/15"	14.80	1593	10.00	20.30	2.72
	"Iowa"	"19"	"Jun 16, 2011"	"2011/06/16"	11.60	1593	9.20	13.60	1.05
	"Iowa"	"19"	"Jun 17, 2011"	"2011/06/17"	15.02	1593	10.60	20.90	2.24
	"Iowa"	"19"	"Jun 18, 2011"	"2011/06/18"	9.15	1593	7.10	11.60	1.12
	"Iowa"	"19"	"Jun 19, 2011"	"2011/06/19"	12.13	1593	9.30	15.30	1.59
	"Iowa"	"19"	"Jun 20, 2011"	"2011/06/20"	11.76	1593	6.80	17.00	2.51
	"Iowa"	"19"	"Jun 21, 2011"	"2011/06/21"	9.26	1593	1.40	14.70	3.45
	"Iowa"	"19"	"Jun 22, 2011"	"2011/06/22"	13.81	1593	12.20	15.40	0.87
	"Iowa"	"19"	"Jun 23, 2011"	"2011/06/23"	11.91	1593	11.20	12.90	0.36
	"Iowa"	"19"	"Jun 24, 2011"	"2011/06/24"	11.58	1593	8.50	17.70	2.23
	"Iowa"	"19"	"Jun 25, 2011"	"2011/06/25"	7.72	1593	6.10	10.60	0.94
	"Iowa"	"19"	"Jun 26, 2011"	"2011/06/26"	13.48	1593	12.10	17.40	0.97
	"Iowa"	"19"	"Jun 27, 2011"	"2011/06/27"	3.74	1593	2.20	7.40	0.69
	"Iowa"	"19"	"Jun 28, 2011"	"2011/06/28"	7.17	1593	5.90	9.50	0.79
	"Iowa"	"19"	"Jun 29, 2011"	"2011/06/29"	8.31	1593	5.10	11.60	1.63
	"Iowa"	"19"	"Jun 30, 2011"	"2011/06/30"	9.18	1593	0.00	15.40	3.69
	"Iowa"	"19"	"Jul 01, 2011"	"2011/07/01"	10.01	1593	3.50	17.10	2.36
	"Iowa"	"19"	"Jul 02, 2011"	"2011/07/02"	14.80	1593	12.70	20.10	1.40
	"Iowa"	"19"	"Jul 03, 2011"	"2011/07/03"	12.14	1593	6.20	17.30	2.19
	"Iowa"	"19"	"Jul 04, 2011"	"2011/07/04"	12.23	1593	10.20	15.50	0.98
	"Iowa"	"19"	"Jul 05, 2011"	"2011/07/05"	9.24	1593	3.00	13.40	1.88
	"Iowa"	"19"	"Jul 06, 2011"	"2011/07/06"	11.09	1593	5.20	16.90	2.81
	"Iowa"	"19"	"Jul 07, 2011"	"2011/07/07"	10.35	1593	5.00	14.80	2.52
	"Iowa"	"19"	"Jul 08, 2011"	"2011/07/08"	14.64	1593	8.20	18.70	2.19
	"Iowa"	"19"	"Jul 09, 2011"	"2011/07/09"	12.74	1593	8.30	19.20	2.38
	"Iowa"	"19"	"Jul 10, 2011"	"2011/07/10"	14.24	1593	6.10	21.30	3.12
	"Iowa"	"19"	"Jul 11, 2011"	"2011/07/11"	12.93	1593	8.60	16.40	1.39
	"Iowa"	"19"	"Jul 12, 2011"	"2011/07/12"	8.96	1593	2.70	11.90	1.74
	"Iowa"	"19"	"Jul 13, 2011"	"2011/07/13"	13.47	1593	7.30	20.30	2.65
	"Iowa"	"19"	"Jul 14, 2011"	"2011/07/14"	12.73	1593	8.20	18.40	2.03
	"Iowa"	"19"	"Jul 15, 2011"	"2011/07/15"	12.30	1593	4.90	20.50	3.20
	"Iowa"	"19"	"Jul 16, 2011"	"2011/07/16"	11.58	1593	4.30	19.50	4.12
	"Iowa"	"19"	"Jul 17, 2011"	"2011/07/17"	15.85	1593	5.90	20.50	3.52
	"Iowa"	"19"	"Jul 18, 2011"	"2011/07/18"	10.88	1593	6.50	17.40	2.74
	"Iowa"	"19"	"Jul 19, 2011"	"2011/07/19"	5.24	1593	0.10	11.40	2.37
	"Iowa"	"19"	"Jul 20, 2011"	"2011/07/20"	7.67	1593	4.30	12.10	1.37
	"Iowa"	"19"	"Jul 21, 2011"	"2011/07/21"	8.49	1593	4.00	11.80	1.93
	"Iowa"	"19"	"Jul 22, 2011"	"2011/07/22"	12.03	1593	8.10	15.70	2.01
	"Iowa"	"19"	"Jul 23, 2011"	"2011/07/23"	17.07	1593	11.10	21.30	2.42
	"Iowa"	"19"	"Jul 24, 2011"	"2011/07/24"	9.87	1593	1.30	16.60	3.35
	"Iowa"	"19"	"Jul 25, 2011"	"2011/07/25"	8.08	1593	2.90	12.40	1.63
	"Iowa"	"19"	"Jul 26, 2011"	"2011/07/26"	20.87	1593	4.20	32.50	6.34
	"Iowa"	"19"	"Jul 27, 2011"	"2011/07/27"	13.33	1593	3.90	19.80	3.25
	"Iowa"	"19"	"Jul 28, 2011"	"2011/07/28"	7.42	1593	4.60	11.80	1.89
	"Iowa"	"19"	"Jul 29, 2011"	"2011/07/29"	12.34	1593	7.70	17.00	2.02
	"Iowa"	"19"	"Jul 30, 2011"	"2011/07/30"	9.05	1593	4.80	12.00	1.52
	"Iowa"	"19"	"Jul 31, 2011"	"2011/07/31"	11.95	1593	5.20	19.10	3.32
	"Iowa"	"19"	"Aug 01, 2011"	"2011/08/01"	13.50	1593	8.40	18.10	1.72
	"Iowa"	"19"	"Aug 02, 2011"	"2011/08/02"	12.90	1593	6.20	25.70	4.48
	"Iowa"	"19"	"Aug 03, 2011"	"2011/08/03"	10.47	1593	8.10	14.90	1.11
	"Iowa"	"19"	"Aug 04, 2011"	"2011/08/04"	26.56	1593	21.20	31.10	1.89
	"Iowa"	"19"	"Aug 05, 2011"	"2011/08/05"	17.66	1593	15.00	20.70	1.26
	"Iowa"	"19"	"Aug 06, 2011"	"2011/08/06"	11.42	1593	6.20	16.30	2.10
	"Iowa"	"19"	"Aug 07, 2011"	"2011/08/07"	14.02	1593	8.20	18.50	2.24
	"Iowa"	"19"	"Aug 08, 2011"	"2011/08/08"	6.60	1593	1.10	12.70	2.55
	"Iowa"	"19"	"Aug 09, 2011"	"2011/08/09"	6.32	1593	1.70	14.00	2.88
	"Iowa"	"19"	"Aug 10, 2011"	"2011/08/10"	4.84	1593	1.50	9.20	2.06
	"Iowa"	"19"	"Aug 11, 2011"	"2011/08/11"	6.18	1593	1.70	11.50	2.03
	"Iowa"	"19"	"Aug 12, 2011"	"2011/08/12"	6.98	1593	1.20	10.50	1.88
	"Iowa"	"19"	"Aug 13, 2011"	"2011/08/13"	3.26	1593	0.00	7.10	2.41
	"Iowa"	"19"	"Aug 14, 2011"	"2011/08/14"	5.08	1593	0.00	8.40	1.71
	"Iowa"	"19"	"Aug 15, 2011"	"2011/08/15"	6.55	1593	3.20	11.10	1.54
	"Iowa"	"19"	"Aug 16, 2011"	"2011/08/16"	11.17	1593	3.90	21.30	3.02
	"Iowa"	"19"	"Aug 17, 2011"	"2011/08/17"	5.48	1593	1.30	12.90	2.12
	"Iowa"	"19"	"Aug 18, 2011"	"2011/08/18"	8.37	1593	3.30	20.30	3.73
	"Iowa"	"19"	"Aug 19, 2011"	"2011/08/19"	4.31	1593	0.60	11.80	2.94
	"Iowa"	"19"	"Aug 20, 2011"	"2011/08/20"	13.08	1593	6.50	18.30	2.58
	"Iowa"	"19"	"Aug 21, 2011"	"2011/08/21"	9.22	1593	7.30	13.00	0.91
	"Iowa"	"19"	"Aug 22, 2011"	"2011/08/22"	10.71	1593	6.90	16.60	2.18
	"Iowa"	"19"	"Aug 23, 2011"	"2011/08/23"	14.70	1593	5.10	39.40	7.04
	"Iowa"	"19"	"Aug 24, 2011"	"2011/08/24"	0.49	1593	0.00	3.60	0.75
	"Iowa"	"19"	"Aug 25, 2011"	"2011/08/25"	3.32	1593	0.00	21.30	4.89
	"Iowa"	"19"	"Aug 26, 2011"	"2011/08/26"	11.09	1593	8.90	17.80	1.80
	"Iowa"	"19"	"Aug 27, 2011"	"2011/08/27"	12.01	1593	7.80	17.50	2.43
	"Iowa"	"19"	"Aug 28, 2011"	"2011/08/28"	6.86	1593	0.00	10.90	2.70
	"Iowa"	"19"	"Aug 29, 2011"	"2011/08/29"	6.27	1593	0.20	9.10	2.01
	"Iowa"	"19"	"Aug 30, 2011"	"2011/08/30"	13.74	1593	9.70	17.20	1.64
	"Iowa"	"19"	"Aug 31, 2011"	"2011/08/31"	18.38	1593	11.10	22.50	2.69
	"Iowa"	"19"	"Sep 01, 2011"	"2011/09/01"	15.34	1593	9.80	19.80	2.19
	"Iowa"	"19"	"Sep 02, 2011"	"2011/09/02"	7.61	1593	2.70	13.10	2.30
	"Iowa"	"19"	"Sep 03, 2011"	"2011/09/03"	19.23	1593	7.60	28.20	3.80
	"Iowa"	"19"	"Sep 04, 2011"	"2011/09/04"	17.23	1593	14.00	21.10	1.63
	"Iowa"	"19"	"Sep 05, 2011"	"2011/09/05"	10.57	1593	7.30	14.80	1.70
	"Iowa"	"19"	"Sep 06, 2011"	"2011/09/06"	5.14	1593	1.40	9.80	1.96
	"Iowa"	"19"	"Sep 07, 2011"	"2011/09/07"	7.04	1593	2.40	9.30	1.42
	"Iowa"	"19"	"Sep 08, 2011"	"2011/09/08"	5.85	1593	1.10	9.20	1.65
	"Iowa"	"19"	"Sep 09, 2011"	"2011/09/09"	11.76	1593	8.30	14.30	1.45
	"Iowa"	"19"	"Sep 10, 2011"	"2011/09/10"	9.24	1593	6.30	15.50	1.73
	"Iowa"	"19"	"Sep 11, 2011"	"2011/09/11"	9.41	1593	4.30	12.60	2.39
	"Iowa"	"19"	"Sep 12, 2011"	"2011/09/12"	9.65	1593	3.60	16.90	3.05
	"Iowa"	"19"	"Sep 13, 2011"	"2011/09/13"	10.60	1593	7.80	14.80	1.61
	"Iowa"	"19"	"Sep 14, 2011"	"2011/09/14"	9.52	1593	6.80	12.20	1.38
	"Iowa"	"19"	"Sep 15, 2011"	"2011/09/15"	7.27	1593	1.40	19.80	4.86
	"Iowa"	"19"	"Sep 16, 2011"	"2011/09/16"	9.60	1593	8.40	10.20	0.40
	"Iowa"	"19"	"Sep 17, 2011"	"2011/09/17"	10.48	1593	7.80	13.50	1.16
	"Iowa"	"19"	"Sep 18, 2011"	"2011/09/18"	9.65	1593	8.70	11.50	0.52
	"Iowa"	"19"	"Sep 19, 2011"	"2011/09/19"	7.84	1593	5.00	11.30	1.37
	"Iowa"	"19"	"Sep 20, 2011"	"2011/09/20"	11.69	1593	7.50	16.60	2.36
	"Iowa"	"19"	"Sep 21, 2011"	"2011/09/21"	7.20	1593	3.30	9.40	1.64
	"Iowa"	"19"	"Sep 22, 2011"	"2011/09/22"	10.76	1593	7.30	13.20	1.50
	"Iowa"	"19"	"Sep 23, 2011"	"2011/09/23"	8.37	1593	4.80	11.80	2.02
	"Iowa"	"19"	"Sep 24, 2011"	"2011/09/24"	6.32	1593	1.50	11.70	2.61
	"Iowa"	"19"	"Sep 25, 2011"	"2011/09/25"	6.17	1593	2.80	9.30	1.38
	"Iowa"	"19"	"Sep 26, 2011"	"2011/09/26"	9.07	1593	3.30	17.20	3.09
	"Iowa"	"19"	"Sep 27, 2011"	"2011/09/27"	7.91	1593	4.40	11.50	1.58
	"Iowa"	"19"	"Sep 28, 2011"	"2011/09/28"	9.37	1593	4.50	13.90	2.17
	"Iowa"	"19"	"Sep 29, 2011"	"2011/09/29"	11.51	1593	6.80	16.90	2.27
	"Iowa"	"19"	"Sep 30, 2011"	"2011/09/30"	3.18	1593	0.00	7.10	1.72
	"Iowa"	"19"	"Oct 01, 2011"	"2011/10/01"	5.52	1593	4.20	8.50	0.86
	"Iowa"	"19"	"Oct 02, 2011"	"2011/10/02"	5.66	1593	2.90	8.10	1.01
	"Iowa"	"19"	"Oct 03, 2011"	"2011/10/03"	10.70	1593	7.60	13.10	1.13
	"Iowa"	"19"	"Oct 04, 2011"	"2011/10/04"	9.31	1593	6.30	12.90	1.34
	"Iowa"	"19"	"Oct 05, 2011"	"2011/10/05"	9.97	1593	6.00	15.80	1.85
	"Iowa"	"19"	"Oct 06, 2011"	"2011/10/06"	19.38	1593	14.70	22.80	1.34
	"Iowa"	"19"	"Oct 07, 2011"	"2011/10/07"	8.34	1593	0.00	18.50	3.91
	"Iowa"	"19"	"Oct 08, 2011"	"2011/10/08"	8.00	1593	2.50	17.70	3.16
	"Iowa"	"19"	"Oct 09, 2011"	"2011/10/09"	8.14	1593	0.30	15.00	3.18
	"Iowa"	"19"	"Oct 10, 2011"	"2011/10/10"	8.44	1593	0.40	16.60	3.99
	"Iowa"	"19"	"Oct 11, 2011"	"2011/10/11"	4.58	1593	0.00	10.20	2.11
	"Iowa"	"19"	"Oct 12, 2011"	"2011/10/12"	11.87	1593	8.30	15.40	1.84
	"Iowa"	"19"	"Oct 13, 2011"	"2011/10/13"	11.40	1593	8.00	13.30	1.18
	"Iowa"	"19"	"Oct 14, 2011"	"2011/10/14"	11.91	1593	6.40	15.20	1.98
	"Iowa"	"19"	"Oct 15, 2011"	"2011/10/15"	7.64	1593	6.30	9.80	0.84
	"Iowa"	"19"	"Oct 16, 2011"	"2011/10/16"	8.67	1593	2.30	12.40	2.03
	"Iowa"	"19"	"Oct 17, 2011"	"2011/10/17"	14.21	1593	12.00	16.10	0.88
	"Iowa"	"19"	"Oct 18, 2011"	"2011/10/18"	5.29	1593	0.00	8.60	2.14
	"Iowa"	"19"	"Oct 19, 2011"	"2011/10/19"	9.11	1593	6.00	12.20	1.35
	"Iowa"	"19"	"Oct 20, 2011"	"2011/10/20"	9.82	1593	7.00	12.20	1.11
	"Iowa"	"19"	"Oct 21, 2011"	"2011/10/21"	11.74	1593	7.70	17.50	2.20
	"Iowa"	"19"	"Oct 22, 2011"	"2011/10/22"	14.97	1593	11.80	17.00	1.25
	"Iowa"	"19"	"Oct 23, 2011"	"2011/10/23"	10.27	1593	5.30	14.00	2.15
	"Iowa"	"19"	"Oct 24, 2011"	"2011/10/24"	10.17	1593	5.70	16.30	2.47
	"Iowa"	"19"	"Oct 25, 2011"	"2011/10/25"	9.70	1593	6.40	13.20	1.69
	"Iowa"	"19"	"Oct 26, 2011"	"2011/10/26"	3.02	1593	0.00	5.80	1.45
	"Iowa"	"19"	"Oct 27, 2011"	"2011/10/27"	2.27	1593	0.00	6.00	1.96
	"Iowa"	"19"	"Oct 28, 2011"	"2011/10/28"	14.46	1593	9.00	20.80	2.76
	"Iowa"	"19"	"Oct 29, 2011"	"2011/10/29"	17.32	1593	13.70	20.60	1.44
	"Iowa"	"19"	"Oct 30, 2011"	"2011/10/30"	10.89	1593	7.20	14.00	1.64
	"Iowa"	"19"	"Oct 31, 2011"	"2011/10/31"	14.86	1593	11.80	17.60	1.20
	"Iowa"	"19"	"Nov 01, 2011"	"2011/11/01"	11.78	1593	7.20	17.90	2.23
	"Iowa"	"19"	"Nov 02, 2011"	"2011/11/02"	10.50	1593	9.70	11.90	0.43
	"Iowa"	"19"	"Nov 03, 2011"	"2011/11/03"	6.34	1593	3.80	8.60	1.26
	"Iowa"	"19"	"Nov 04, 2011"	"2011/11/04"	7.81	1593	3.80	10.20	1.64
	"Iowa"	"19"	"Nov 05, 2011"	"2011/11/05"	16.88	1593	9.30	21.10	2.66
	"Iowa"	"19"	"Nov 06, 2011"	"2011/11/06"	9.24	1593	4.40	12.80	1.93
	"Iowa"	"19"	"Nov 07, 2011"	"2011/11/07"	5.11	1593	0.50	9.90	2.03
	"Iowa"	"19"	"Nov 08, 2011"	"2011/11/08"	6.01	1593	2.40	10.10	1.50
	"Iowa"	"19"	"Nov 09, 2011"	"2011/11/09"	14.22	1593	10.80	16.60	1.64
	"Iowa"	"19"	"Nov 10, 2011"	"2011/11/10"	12.53	1593	9.40	14.30	1.35
	"Iowa"	"19"	"Nov 11, 2011"	"2011/11/11"	8.19	1593	5.60	11.10	1.09
	"Iowa"	"19"	"Nov 12, 2011"	"2011/11/12"	8.96	1593	6.90	11.30	1.06
	"Iowa"	"19"	"Nov 13, 2011"	"2011/11/13"	12.17	1593	8.40	16.00	1.72
	"Iowa"	"19"	"Nov 14, 2011"	"2011/11/14"	10.25	1593	8.30	12.20	0.77
	"Iowa"	"19"	"Nov 15, 2011"	"2011/11/15"	13.24	1593	10.30	16.10	1.42
	"Iowa"	"19"	"Nov 16, 2011"	"2011/11/16"	11.41	1593	8.60	14.30	1.27
	"Iowa"	"19"	"Nov 17, 2011"	"2011/11/17"	6.50	1593	3.00	8.80	1.11
	"Iowa"	"19"	"Nov 18, 2011"	"2011/11/18"	7.98	1593	5.80	10.40	1.16
	"Iowa"	"19"	"Nov 19, 2011"	"2011/11/19"	5.87	1593	3.50	7.60	0.98
	"Iowa"	"19"	"Nov 20, 2011"	"2011/11/20"	15.87	1593	11.50	19.30	1.87
	"Iowa"	"19"	"Nov 21, 2011"	"2011/11/21"	3.83	1593	0.00	6.20	1.37
	"Iowa"	"19"	"Nov 22, 2011"	"2011/11/22"	10.53	1593	5.80	14.00	1.80
	"Iowa"	"19"	"Nov 23, 2011"	"2011/11/23"	15.42	1593	10.70	18.10	1.23
	"Iowa"	"19"	"Nov 24, 2011"	"2011/11/24"	7.56	1593	4.70	10.60	1.26
	"Iowa"	"19"	"Nov 25, 2011"	"2011/11/25"	9.74	1593	9.20	11.20	0.43
	"Iowa"	"19"	"Nov 26, 2011"	"2011/11/26"	6.53	1593	2.70	9.00	1.21
	"Iowa"	"19"	"Nov 27, 2011"	"2011/11/27"	15.92	1593	12.80	19.00	1.80
	"Iowa"	"19"	"Nov 28, 2011"	"2011/11/28"	12.98	1593	9.80	15.80	1.40
	"Iowa"	"19"	"Nov 29, 2011"	"2011/11/29"	12.05	1593	8.60	15.90	1.20
	"Iowa"	"19"	"Nov 30, 2011"	"2011/11/30"	12.43	1593	9.70	14.00	0.93
	"Iowa"	"19"	"Dec 01, 2011"	"2011/12/01"	7.35	1593	4.60	11.00	1.89
	"Iowa"	"19"	"Dec 02, 2011"	"2011/12/02"	8.64	1593	7.00	11.80	1.23
	"Iowa"	"19"	"Dec 03, 2011"	"2011/12/03"	9.51	1593	8.00	11.20	0.74
	"Iowa"	"19"	"Dec 04, 2011"	"2011/12/04"	10.71	1593	8.90	12.60	0.98
	"Iowa"	"19"	"Dec 05, 2011"	"2011/12/05"	6.26	1593	3.20	8.00	0.79
	"Iowa"	"19"	"Dec 06, 2011"	"2011/12/06"	21.22	1593	18.40	23.70	1.32
	"Iowa"	"19"	"Dec 07, 2011"	"2011/12/07"	22.01	1593	17.60	25.80	1.76
	"Iowa"	"19"	"Dec 08, 2011"	"2011/12/08"	14.28	1593	11.80	16.70	1.09
	"Iowa"	"19"	"Dec 09, 2011"	"2011/12/09"	21.35	1593	17.30	25.00	1.70
	"Iowa"	"19"	"Dec 10, 2011"	"2011/12/10"	21.21	1593	18.30	23.10	1.30
	"Iowa"	"19"	"Dec 11, 2011"	"2011/12/11"	11.42	1593	4.40	16.40	2.09
	"Iowa"	"19"	"Dec 12, 2011"	"2011/12/12"	13.45	1593	11.80	16.50	1.02
	"Iowa"	"19"	"Dec 13, 2011"	"2011/12/13"	8.29	1593	6.10	9.70	0.85
	"Iowa"	"19"	"Dec 14, 2011"	"2011/12/14"	1.03	1593	0.00	4.10	1.03
	"Iowa"	"19"	"Dec 15, 2011"	"2011/12/15"	15.33	1593	11.80	17.80	1.53
	"Iowa"	"19"	"Dec 16, 2011"	"2011/12/16"	13.61	1593	10.30	15.30	1.13
	"Iowa"	"19"	"Dec 17, 2011"	"2011/12/17"	16.99	1593	10.40	21.70	2.19
