"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature Standard Deviation	Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index Standard Deviation	Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress Standard Deviation	Population	Average Population
"Total"	"San Mateo County, CA"	"06081"			Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	Not Applicable	0.00	0.00	592808	592808.00
	"Santa Barbara County, CA"	"06083"	"1981"	"1981"	11	11.00	0.00	6	6.00	0.00	6	6.00	0.00	306363	306363.00
"Total"	"Santa Barbara County, CA"	"06083"			Not Applicable	11.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	306363	306363.00
	"Santa Clara County, CA"	"06085"	"1981"	"1981"	8	8.00	0.00	8	8.00	0.00	7	7.00	0.00	1327989	1327989.00
"Total"	"Santa Clara County, CA"	"06085"			Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	Not Applicable	7.00	0.00	1327989	1327989.00
	"Santa Cruz County, CA"	"06087"	"1981"	"1981"	8	8.00	0.00	8	8.00	0.00	4	4.00	0.00	194174	194174.00
"Total"	"Santa Cruz County, CA"	"06087"			Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	Not Applicable	4.00	0.00	194174	194174.00
	"Shasta County, CA"	"06089"	"1981"	"1981"	11	11.00	0.00	7	7.00	0.00	7	7.00	0.00	120339	120339.00
"Total"	"Shasta County, CA"	"06089"			Not Applicable	11.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	120339	120339.00
	"Sierra County, CA"	"06091"	"1981"	"1981"	11	11.00	0.00	5	5.00	0.00	2	2.00	0.00	3088	3088.00
"Total"	"Sierra County, CA"	"06091"			Not Applicable	11.00	0.00	Not Applicable	5.00	0.00	Not Applicable	2.00	0.00	3088	3088.00
	"Siskiyou County, CA"	"06093"	"1981"	"1981"	14	14.00	0.00	11	11.00	0.00	3	3.00	0.00	40821	40821.00
"Total"	"Siskiyou County, CA"	"06093"			Not Applicable	14.00	0.00	Not Applicable	11.00	0.00	Not Applicable	3.00	0.00	40821	40821.00
	"Solano County, CA"	"06095"	"1981"	"1981"	6	6.00	0.00	6	6.00	0.00	7	7.00	0.00	246232	246232.00
"Total"	"Solano County, CA"	"06095"			Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	246232	246232.00
	"Sonoma County, CA"	"06097"	"1981"	"1981"	6	6.00	0.00	4	4.00	0.00	3	3.00	0.00	308972	308972.00
"Total"	"Sonoma County, CA"	"06097"			Not Applicable	6.00	0.00	Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	308972	308972.00
	"Stanislaus County, CA"	"06099"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	5	5.00	0.00	275577	275577.00
"Total"	"Stanislaus County, CA"	"06099"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	275577	275577.00
	"Sutter County, CA"	"06101"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	3	3.00	0.00	53913	53913.00
"Total"	"Sutter County, CA"	"06101"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	53913	53913.00
	"Tehama County, CA"	"06103"	"1981"	"1981"	6	6.00	0.00	7	7.00	0.00	7	7.00	0.00	40226	40226.00
"Total"	"Tehama County, CA"	"06103"			Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	40226	40226.00
	"Trinity County, CA"	"06105"	"1981"	"1981"	9	9.00	0.00	7	7.00	0.00	6	6.00	0.00	12316	12316.00
"Total"	"Trinity County, CA"	"06105"			Not Applicable	9.00	0.00	Not Applicable	7.00	0.00	Not Applicable	6.00	0.00	12316	12316.00
	"Tulare County, CA"	"06107"	"1981"	"1981"	9	9.00	0.00	0	0.00	0.00	3	3.00	0.00	254434	254434.00
"Total"	"Tulare County, CA"	"06107"			Not Applicable	9.00	0.00	Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	254434	254434.00
	"Tuolumne County, CA"	"06109"	"1981"	"1981"	9	9.00	0.00	3	3.00	0.00	3	3.00	0.00	35269	35269.00
"Total"	"Tuolumne County, CA"	"06109"			Not Applicable	9.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	35269	35269.00
	"Ventura County, CA"	"06111"	"1981"	"1981"	5	5.00	0.00	5	5.00	0.00	7	7.00	0.00	546994	546994.00
"Total"	"Ventura County, CA"	"06111"			Not Applicable	5.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	546994	546994.00
	"Yolo County, CA"	"06113"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	5	5.00	0.00	115437	115437.00
"Total"	"Yolo County, CA"	"06113"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	115437	115437.00
	"Yuba County, CA"	"06115"	"1981"	"1981"	7	7.00	0.00	5	5.00	0.00	3	3.00	0.00	50135	50135.00
"Total"	"Yuba County, CA"	"06115"			Not Applicable	7.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	50135	50135.00
	"Adams County, CO"	"08001"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	2	2.00	0.00	251675	251675.00
"Total"	"Adams County, CO"	"08001"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	251675	251675.00
	"Alamosa County, CO"	"08003"	"1981"	"1981"	18	18.00	0.00	17	17.00	0.00	0	0.00	0.00	12170	12170.00
"Total"	"Alamosa County, CO"	"08003"			Not Applicable	18.00	0.00	Not Applicable	17.00	0.00	Not Applicable	0.00	0.00	12170	12170.00
	"Arapahoe County, CO"	"08005"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	2	2.00	0.00	312975	312975.00
"Total"	"Arapahoe County, CO"	"08005"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	312975	312975.00
	"Archuleta County, CO"	"08007"	"1981"	"1981"	23	23.00	0.00	13	13.00	0.00	0	0.00	0.00	4050	4050.00
"Total"	"Archuleta County, CO"	"08007"			Not Applicable	23.00	0.00	Not Applicable	13.00	0.00	Not Applicable	0.00	0.00	4050	4050.00
	"Baca County, CO"	"08009"	"1981"	"1981"	4	4.00	0.00	5	5.00	0.00	9	9.00	0.00	5310	5310.00
"Total"	"Baca County, CO"	"08009"			Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	5310	5310.00
	"Bent County, CO"	"08011"	"1981"	"1981"	9	9.00	0.00	9	9.00	0.00	13	13.00	0.00	5898	5898.00
"Total"	"Bent County, CO"	"08011"			Not Applicable	9.00	0.00	Not Applicable	9.00	0.00	Not Applicable	13.00	0.00	5898	5898.00
	"Boulder County, CO"	"08013"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	196197	196197.00
"Total"	"Boulder County, CO"	"08013"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	196197	196197.00
	"Broomfield County, CO"	"08014"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	0	0.00	0.00	Not Applicable	Missing
"Total"	"Broomfield County, CO"	"08014"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	Not Applicable	Missing
	"Chaffee County, CO"	"08015"	"1981"	"1981"	21	21.00	0.00	17	17.00	0.00	0	0.00	0.00	13428	13428.00
"Total"	"Chaffee County, CO"	"08015"			Not Applicable	21.00	0.00	Not Applicable	17.00	0.00	Not Applicable	0.00	0.00	13428	13428.00
	"Cheyenne County, CO"	"08017"	"1981"	"1981"	6	6.00	0.00	5	5.00	0.00	8	8.00	0.00	2213	2213.00
"Total"	"Cheyenne County, CO"	"08017"			Not Applicable	6.00	0.00	Not Applicable	5.00	0.00	Not Applicable	8.00	0.00	2213	2213.00
	"Clear Creek County, CO"	"08019"	"1981"	"1981"	13	13.00	0.00	2	2.00	0.00	0	0.00	0.00	7544	7544.00
"Total"	"Clear Creek County, CO"	"08019"			Not Applicable	13.00	0.00	Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	7544	7544.00
	"Conejos County, CO"	"08021"	"1981"	"1981"	18	18.00	0.00	17	17.00	0.00	0	0.00	0.00	7656	7656.00
"Total"	"Conejos County, CO"	"08021"			Not Applicable	18.00	0.00	Not Applicable	17.00	0.00	Not Applicable	0.00	0.00	7656	7656.00
	"Costilla County, CO"	"08023"	"1981"	"1981"	14	14.00	0.00	14	14.00	0.00	0	0.00	0.00	3062	3062.00
"Total"	"Costilla County, CO"	"08023"			Not Applicable	14.00	0.00	Not Applicable	14.00	0.00	Not Applicable	0.00	0.00	3062	3062.00
	"Crowley County, CO"	"08025"	"1981"	"1981"	8	8.00	0.00	8	8.00	0.00	11	11.00	0.00	3005	3005.00
"Total"	"Crowley County, CO"	"08025"			Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	Not Applicable	11.00	0.00	3005	3005.00
	"Custer County, CO"	"08027"	"1981"	"1981"	19	19.00	0.00	2	2.00	0.00	0	0.00	0.00	1553	1553.00
"Total"	"Custer County, CO"	"08027"			Not Applicable	19.00	0.00	Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	1553	1553.00
	"Delta County, CO"	"08029"	"1981"	"1981"	16	16.00	0.00	16	16.00	0.00	2	2.00	0.00	22424	22424.00
"Total"	"Delta County, CO"	"08029"			Not Applicable	16.00	0.00	Not Applicable	16.00	0.00	Not Applicable	2.00	0.00	22424	22424.00
	"Denver County, CO"	"08031"	"1981"	"1981"	6	6.00	0.00	6	6.00	0.00	0	0.00	0.00	500712	500712.00
"Total"	"Denver County, CO"	"08031"			Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	Not Applicable	0.00	0.00	500712	500712.00
	"Dolores County, CO"	"08033"	"1981"	"1981"	13	13.00	0.00	11	11.00	0.00	0	0.00	0.00	1676	1676.00
"Total"	"Dolores County, CO"	"08033"			Not Applicable	13.00	0.00	Not Applicable	11.00	0.00	Not Applicable	0.00	0.00	1676	1676.00
	"Douglas County, CO"	"08035"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	0	0.00	0.00	27382	27382.00
"Total"	"Douglas County, CO"	"08035"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	0.00	0.00	27382	27382.00
	"Eagle County, CO"	"08037"	"1981"	"1981"	21	21.00	0.00	15	15.00	0.00	0	0.00	0.00	14248	14248.00
"Total"	"Eagle County, CO"	"08037"			Not Applicable	21.00	0.00	Not Applicable	15.00	0.00	Not Applicable	0.00	0.00	14248	14248.00
	"Elbert County, CO"	"08039"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	0	0.00	0.00	7099	7099.00
"Total"	"Elbert County, CO"	"08039"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	0.00	0.00	7099	7099.00
	"El Paso County, CO"	"08041"	"1981"	"1981"	6	6.00	0.00	6	6.00	0.00	2	2.00	0.00	322706	322706.00
"Total"	"El Paso County, CO"	"08041"			Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	Not Applicable	2.00	0.00	322706	322706.00
	"Fremont County, CO"	"08043"	"1981"	"1981"	19	19.00	0.00	9	9.00	0.00	6	6.00	0.00	29262	29262.00
"Total"	"Fremont County, CO"	"08043"			Not Applicable	19.00	0.00	Not Applicable	9.00	0.00	Not Applicable	6.00	0.00	29262	29262.00
	"Garfield County, CO"	"08045"	"1981"	"1981"	19	19.00	0.00	15	15.00	0.00	0	0.00	0.00	25126	25126.00
"Total"	"Garfield County, CO"	"08045"			Not Applicable	19.00	0.00	Not Applicable	15.00	0.00	Not Applicable	0.00	0.00	25126	25126.00
	"Gilpin County, CO"	"08047"	"1981"	"1981"	7	7.00	0.00	2	2.00	0.00	0	0.00	0.00	2569	2569.00
"Total"	"Gilpin County, CO"	"08047"			Not Applicable	7.00	0.00	Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	2569	2569.00
	"Grand County, CO"	"08049"	"1981"	"1981"	11	11.00	0.00	10	10.00	0.00	0	0.00	0.00	7763	7763.00
"Total"	"Grand County, CO"	"08049"			Not Applicable	11.00	0.00	Not Applicable	10.00	0.00	Not Applicable	0.00	0.00	7763	7763.00
	"Gunnison County, CO"	"08051"	"1981"	"1981"	19	19.00	0.00	16	16.00	0.00	0	0.00	0.00	10819	10819.00
"Total"	"Gunnison County, CO"	"08051"			Not Applicable	19.00	0.00	Not Applicable	16.00	0.00	Not Applicable	0.00	0.00	10819	10819.00
	"Hinsdale County, CO"	"08053"	"1981"	"1981"	20	20.00	0.00	13	13.00	0.00	0	0.00	0.00	443	443.00
"Total"	"Hinsdale County, CO"	"08053"			Not Applicable	20.00	0.00	Not Applicable	13.00	0.00	Not Applicable	0.00	0.00	443	443.00
	"Huerfano County, CO"	"08055"	"1981"	"1981"	17	17.00	0.00	10	10.00	0.00	0	0.00	0.00	6445	6445.00
"Total"	"Huerfano County, CO"	"08055"			Not Applicable	17.00	0.00	Not Applicable	10.00	0.00	Not Applicable	0.00	0.00	6445	6445.00
	"Jackson County, CO"	"08057"	"1981"	"1981"	8	8.00	0.00	5	5.00	0.00	0	0.00	0.00	1857	1857.00
"Total"	"Jackson County, CO"	"08057"			Not Applicable	8.00	0.00	Not Applicable	5.00	0.00	Not Applicable	0.00	0.00	1857	1857.00
	"Jefferson County, CO"	"08059"	"1981"	"1981"	9	9.00	0.00	2	2.00	0.00	0	0.00	0.00	385015	385015.00
"Total"	"Jefferson County, CO"	"08059"			Not Applicable	9.00	0.00	Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	385015	385015.00
	"Kiowa County, CO"	"08061"	"1981"	"1981"	12	12.00	0.00	10	10.00	0.00	12	12.00	0.00	1983	1983.00
"Total"	"Kiowa County, CO"	"08061"			Not Applicable	12.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	1983	1983.00
	"Kit Carson County, CO"	"08063"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	4	4.00	0.00	7575	7575.00
"Total"	"Kit Carson County, CO"	"08063"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	7575	7575.00
	"Lake County, CO"	"08065"	"1981"	"1981"	15	15.00	0.00	0	0.00	0.00	0	0.00	0.00	8900	8900.00
"Total"	"Lake County, CO"	"08065"			Not Applicable	15.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	8900	8900.00
	"La Plata County, CO"	"08067"	"1981"	"1981"	16	16.00	0.00	10	10.00	0.00	0	0.00	0.00	28341	28341.00
"Total"	"La Plata County, CO"	"08067"			Not Applicable	16.00	0.00	Not Applicable	10.00	0.00	Not Applicable	0.00	0.00	28341	28341.00
	"Larimer County, CO"	"08069"	"1981"	"1981"	4	4.00	0.00	0	0.00	0.00	0	0.00	0.00	153636	153636.00
"Total"	"Larimer County, CO"	"08069"			Not Applicable	4.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	153636	153636.00
	"Las Animas County, CO"	"08071"	"1981"	"1981"	6	6.00	0.00	7	7.00	0.00	10	10.00	0.00	15029	15029.00
"Total"	"Las Animas County, CO"	"08071"			Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	15029	15029.00
	"Lincoln County, CO"	"08073"	"1981"	"1981"	4	4.00	0.00	4	4.00	0.00	9	9.00	0.00	4571	4571.00
"Total"	"Lincoln County, CO"	"08073"			Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	Not Applicable	9.00	0.00	4571	4571.00
	"Logan County, CO"	"08075"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	3	3.00	0.00	19891	19891.00
"Total"	"Logan County, CO"	"08075"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	19891	19891.00
	"Mesa County, CO"	"08077"	"1981"	"1981"	16	16.00	0.00	11	11.00	0.00	12	12.00	0.00	87968	87968.00
"Total"	"Mesa County, CO"	"08077"			Not Applicable	16.00	0.00	Not Applicable	11.00	0.00	Not Applicable	12.00	0.00	87968	87968.00
	"Mineral County, CO"	"08079"	"1981"	"1981"	20	20.00	0.00	0	0.00	0.00	0	0.00	0.00	876	876.00
"Total"	"Mineral County, CO"	"08079"			Not Applicable	20.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	876	876.00
	"Moffat County, CO"	"08081"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	13436	13436.00
"Total"	"Moffat County, CO"	"08081"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	13436	13436.00
	"Montezuma County, CO"	"08083"	"1981"	"1981"	11	11.00	0.00	7	7.00	0.00	8	8.00	0.00	17269	17269.00
"Total"	"Montezuma County, CO"	"08083"			Not Applicable	11.00	0.00	Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	17269	17269.00
	"Montrose County, CO"	"08085"	"1981"	"1981"	14	14.00	0.00	11	11.00	0.00	0	0.00	0.00	25155	25155.00
"Total"	"Montrose County, CO"	"08085"			Not Applicable	14.00	0.00	Not Applicable	11.00	0.00	Not Applicable	0.00	0.00	25155	25155.00
	"Morgan County, CO"	"08087"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	2	2.00	0.00	22455	22455.00
"Total"	"Morgan County, CO"	"08087"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	22455	22455.00
	"Otero County, CO"	"08089"	"1981"	"1981"	9	9.00	0.00	9	9.00	0.00	11	11.00	0.00	22556	22556.00
"Total"	"Otero County, CO"	"08089"			Not Applicable	9.00	0.00	Not Applicable	9.00	0.00	Not Applicable	11.00	0.00	22556	22556.00
	"Ouray County, CO"	"08091"	"1981"	"1981"	15	15.00	0.00	2	2.00	0.00	0	0.00	0.00	2032	2032.00
"Total"	"Ouray County, CO"	"08091"			Not Applicable	15.00	0.00	Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	2032	2032.00
	"Park County, CO"	"08093"	"1981"	"1981"	15	15.00	0.00	4	4.00	0.00	0	0.00	0.00	5761	5761.00
"Total"	"Park County, CO"	"08093"			Not Applicable	15.00	0.00	Not Applicable	4.00	0.00	Not Applicable	0.00	0.00	5761	5761.00
	"Phillips County, CO"	"08095"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	4525	4525.00
"Total"	"Phillips County, CO"	"08095"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	4525	4525.00
	"Pitkin County, CO"	"08097"	"1981"	"1981"	19	19.00	0.00	15	15.00	0.00	0	0.00	0.00	10407	10407.00
"Total"	"Pitkin County, CO"	"08097"			Not Applicable	19.00	0.00	Not Applicable	15.00	0.00	Not Applicable	0.00	0.00	10407	10407.00
	"Prowers County, CO"	"08099"	"1981"	"1981"	6	6.00	0.00	9	9.00	0.00	12	12.00	0.00	13077	13077.00
"Total"	"Prowers County, CO"	"08099"			Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	Not Applicable	12.00	0.00	13077	13077.00
	"Pueblo County, CO"	"08101"	"1981"	"1981"	11	11.00	0.00	9	9.00	0.00	12	12.00	0.00	125861	125861.00
"Total"	"Pueblo County, CO"	"08101"			Not Applicable	11.00	0.00	Not Applicable	9.00	0.00	Not Applicable	12.00	0.00	125861	125861.00
	"Rio Blanco County, CO"	"08103"	"1981"	"1981"	12	12.00	0.00	11	11.00	0.00	0	0.00	0.00	6742	6742.00
"Total"	"Rio Blanco County, CO"	"08103"			Not Applicable	12.00	0.00	Not Applicable	11.00	0.00	Not Applicable	0.00	0.00	6742	6742.00
	"Rio Grande County, CO"	"08105"	"1981"	"1981"	22	22.00	0.00	17	17.00	0.00	0	0.00	0.00	10864	10864.00
"Total"	"Rio Grande County, CO"	"08105"			Not Applicable	22.00	0.00	Not Applicable	17.00	0.00	Not Applicable	0.00	0.00	10864	10864.00
	"Routt County, CO"	"08107"	"1981"	"1981"	6	6.00	0.00	0	0.00	0.00	0	0.00	0.00	13648	13648.00
"Total"	"Routt County, CO"	"08107"			Not Applicable	6.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	13648	13648.00
	"Saguache County, CO"	"08109"	"1981"	"1981"	24	24.00	0.00	21	21.00	0.00	0	0.00	0.00	4074	4074.00
"Total"	"Saguache County, CO"	"08109"			Not Applicable	24.00	0.00	Not Applicable	21.00	0.00	Not Applicable	0.00	0.00	4074	4074.00
	"San Juan County, CO"	"08111"	"1981"	"1981"	18	18.00	0.00	0	0.00	0.00	0	0.00	0.00	887	887.00
"Total"	"San Juan County, CO"	"08111"			Not Applicable	18.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	887	887.00
	"San Miguel County, CO"	"08113"	"1981"	"1981"	12	12.00	0.00	12	12.00	0.00	0	0.00	0.00	3200	3200.00
"Total"	"San Miguel County, CO"	"08113"			Not Applicable	12.00	0.00	Not Applicable	12.00	0.00	Not Applicable	0.00	0.00	3200	3200.00
	"Sedgwick County, CO"	"08115"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	3229	3229.00
"Total"	"Sedgwick County, CO"	"08115"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	3229	3229.00
	"Summit County, CO"	"08117"	"1981"	"1981"	14	14.00	0.00	0	0.00	0.00	0	0.00	0.00	9463	9463.00
"Total"	"Summit County, CO"	"08117"			Not Applicable	14.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	9463	9463.00
	"Teller County, CO"	"08119"	"1981"	"1981"	10	10.00	0.00	11	11.00	0.00	0	0.00	0.00	8569	8569.00
"Total"	"Teller County, CO"	"08119"			Not Applicable	10.00	0.00	Not Applicable	11.00	0.00	Not Applicable	0.00	0.00	8569	8569.00
	"Washington County, CO"	"08121"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	3	3.00	0.00	5183	5183.00
"Total"	"Washington County, CO"	"08121"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	5183	5183.00
	"Weld County, CO"	"08123"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	2	2.00	0.00	124923	124923.00
"Total"	"Weld County, CO"	"08123"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	124923	124923.00
	"Yuma County, CO"	"08125"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	3	3.00	0.00	9625	9625.00
"Total"	"Yuma County, CO"	"08125"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	9625	9625.00
	"Fairfield County, CT"	"09001"	"1981"	"1981"	3	3.00	0.00	2	2.00	0.00	3	3.00	0.00	813434	813434.00
"Total"	"Fairfield County, CT"	"09001"			Not Applicable	3.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	813434	813434.00
	"Hartford County, CT"	"09003"	"1981"	"1981"	3	3.00	0.00	2	2.00	0.00	3	3.00	0.00	812747	812747.00
"Total"	"Hartford County, CT"	"09003"			Not Applicable	3.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	812747	812747.00
	"Litchfield County, CT"	"09005"	"1981"	"1981"	3	3.00	0.00	2	2.00	0.00	2	2.00	0.00	158842	158842.00
"Total"	"Litchfield County, CT"	"09005"			Not Applicable	3.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	158842	158842.00
	"Middlesex County, CT"	"09007"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	3	3.00	0.00	130161	130161.00
"Total"	"Middlesex County, CT"	"09007"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	130161	130161.00
	"New Haven County, CT"	"09009"	"1981"	"1981"	4	4.00	0.00	2	2.00	0.00	3	3.00	0.00	763986	763986.00
"Total"	"New Haven County, CT"	"09009"			Not Applicable	4.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	763986	763986.00
	"New London County, CT"	"09011"	"1981"	"1981"	3	3.00	0.00	3	3.00	0.00	3	3.00	0.00	242203	242203.00
"Total"	"New London County, CT"	"09011"			Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	242203	242203.00
	"Tolland County, CT"	"09013"	"1981"	"1981"	3	3.00	0.00	3	3.00	0.00	2	2.00	0.00	116675	116675.00
"Total"	"Tolland County, CT"	"09013"			Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	Not Applicable	2.00	0.00	116675	116675.00
	"Windham County, CT"	"09015"	"1981"	"1981"	2	2.00	0.00	3	3.00	0.00	2	2.00	0.00	93001	93001.00
"Total"	"Windham County, CT"	"09015"			Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	Not Applicable	2.00	0.00	93001	93001.00
	"Kent County, DE"	"10001"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	98427	98427.00
"Total"	"Kent County, DE"	"10001"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	98427	98427.00
	"New Castle County, DE"	"10003"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	399750	399750.00
"Total"	"New Castle County, DE"	"10003"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	399750	399750.00
	"Sussex County, DE"	"10005"	"1981"	"1981"	3	3.00	0.00	3	3.00	0.00	2	2.00	0.00	98484	98484.00
"Total"	"Sussex County, DE"	"10005"			Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	Not Applicable	2.00	0.00	98484	98484.00
	"District of Columbia, DC"	"11001"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	4	4.00	0.00	638849	638849.00
"Total"	"District of Columbia, DC"	"11001"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	4.00	0.00	638849	638849.00
	"Alachua County, FL"	"12001"	"1981"	"1981"	10	10.00	0.00	4	4.00	0.00	10	10.00	0.00	155801	155801.00
"Total"	"Alachua County, FL"	"12001"			Not Applicable	10.00	0.00	Not Applicable	4.00	0.00	Not Applicable	10.00	0.00	155801	155801.00
	"Baker County, FL"	"12003"	"1981"	"1981"	10	10.00	0.00	7	7.00	0.00	8	8.00	0.00	15798	15798.00
"Total"	"Baker County, FL"	"12003"			Not Applicable	10.00	0.00	Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	15798	15798.00
	"Bay County, FL"	"12005"	"1981"	"1981"	6	6.00	0.00	9	9.00	0.00	15	15.00	0.00	100691	100691.00
"Total"	"Bay County, FL"	"12005"			Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	Not Applicable	15.00	0.00	100691	100691.00
	"Bradford County, FL"	"12007"	"1981"	"1981"	7	7.00	0.00	6	6.00	0.00	7	7.00	0.00	20426	20426.00
"Total"	"Bradford County, FL"	"12007"			Not Applicable	7.00	0.00	Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	20426	20426.00
	"Brevard County, FL"	"12009"	"1981"	"1981"	8	8.00	0.00	3	3.00	0.00	4	4.00	0.00	286325	286325.00
