"Notes"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Izard County, AR"	"05065"	"Oct, 1979"	"1979/10"	15856.06	341	9481.60	20014.40
	"Izard County, AR"	"05065"	"Nov, 1979"	"1979/11"	9556.88	330	3490.10	13548.40
	"Izard County, AR"	"05065"	"Dec, 1979"	"1979/12"	7777.86	341	2460.30	10719.60
"Total"	"Izard County, AR"	"05065"			16321.76	4015	2460.30	29159.90
	"Jackson County, AR"	"05067"	"Jan, 1979"	"1979/01"	7369.78	310	3223.60	11845.40
	"Jackson County, AR"	"05067"	"Feb, 1979"	"1979/02"	10716.53	280	5390.10	16293.00
	"Jackson County, AR"	"05067"	"Mar, 1979"	"1979/03"	15059.37	310	7664.10	21370.80
	"Jackson County, AR"	"05067"	"Apr, 1979"	"1979/04"	18961.86	300	6228.10	26122.10
	"Jackson County, AR"	"05067"	"May, 1979"	"1979/05"	22159.19	310	11179.60	29336.00
	"Jackson County, AR"	"05067"	"Jun, 1979"	"1979/06"	26025.46	300	10854.50	31165.70
	"Jackson County, AR"	"05067"	"Jul, 1979"	"1979/07"	23490.14	310	14669.90	31395.60
	"Jackson County, AR"	"05067"	"Aug, 1979"	"1979/08"	22275.40	310	13732.40	29587.20
	"Jackson County, AR"	"05067"	"Sep, 1979"	"1979/09"	19864.54	300	6377.90	24717.60
	"Jackson County, AR"	"05067"	"Oct, 1979"	"1979/10"	15925.04	310	9341.60	19907.40
	"Jackson County, AR"	"05067"	"Nov, 1979"	"1979/11"	9615.40	300	3466.50	13628.20
	"Jackson County, AR"	"05067"	"Dec, 1979"	"1979/12"	7865.41	310	2540.80	10649.20
"Total"	"Jackson County, AR"	"05067"			16637.14	3650	2540.80	31395.60
	"Jefferson County, AR"	"05069"	"Jan, 1979"	"1979/01"	7687.05	434	2777.40	12500.00
	"Jefferson County, AR"	"05069"	"Feb, 1979"	"1979/02"	10504.75	392	3874.60	16434.40
	"Jefferson County, AR"	"05069"	"Mar, 1979"	"1979/03"	16137.08	434	5689.20	22044.10
	"Jefferson County, AR"	"05069"	"Apr, 1979"	"1979/04"	19271.10	420	7063.00	25678.00
	"Jefferson County, AR"	"05069"	"May, 1979"	"1979/05"	21621.41	434	11096.80	29207.20
	"Jefferson County, AR"	"05069"	"Jun, 1979"	"1979/06"	26256.41	420	11179.60	31961.50
	"Jefferson County, AR"	"05069"	"Jul, 1979"	"1979/07"	22916.30	434	13050.00	32450.50
	"Jefferson County, AR"	"05069"	"Aug, 1979"	"1979/08"	21916.25	434	12779.50	29345.10
	"Jefferson County, AR"	"05069"	"Sep, 1979"	"1979/09"	19770.53	420	7948.60	25169.80
	"Jefferson County, AR"	"05069"	"Oct, 1979"	"1979/10"	16498.53	434	8530.40	20785.40
	"Jefferson County, AR"	"05069"	"Nov, 1979"	"1979/11"	10579.78	420	3504.40	14526.30
	"Jefferson County, AR"	"05069"	"Dec, 1979"	"1979/12"	8372.97	434	2675.30	11314.10
"Total"	"Jefferson County, AR"	"05069"			16822.21	5110	2675.30	32450.50
	"Johnson County, AR"	"05071"	"Jan, 1979"	"1979/01"	7330.17	403	2477.60	12580.70
	"Johnson County, AR"	"05071"	"Feb, 1979"	"1979/02"	11710.01	364	3234.60	16376.90
	"Johnson County, AR"	"05071"	"Mar, 1979"	"1979/03"	14712.85	403	6962.70	21242.30
	"Johnson County, AR"	"05071"	"Apr, 1979"	"1979/04"	18485.88	390	6773.60	26170.80
	"Johnson County, AR"	"05071"	"May, 1979"	"1979/05"	20344.83	403	7463.30	27411.20
	"Johnson County, AR"	"05071"	"Jun, 1979"	"1979/06"	23771.93	390	11091.10	29528.40
	"Johnson County, AR"	"05071"	"Jul, 1979"	"1979/07"	22441.19	403	6934.30	29722.20
	"Johnson County, AR"	"05071"	"Aug, 1979"	"1979/08"	22552.66	403	14186.90	27967.90
	"Johnson County, AR"	"05071"	"Sep, 1979"	"1979/09"	20346.39	390	6995.90	24092.10
	"Johnson County, AR"	"05071"	"Oct, 1979"	"1979/10"	15594.18	403	7849.30	20125.00
	"Johnson County, AR"	"05071"	"Nov, 1979"	"1979/11"	9481.23	390	3430.90	14115.30
	"Johnson County, AR"	"05071"	"Dec, 1979"	"1979/12"	8231.56	403	2656.30	11124.70
"Total"	"Johnson County, AR"	"05071"			16268.15	4745	2477.60	29722.20
	"Lafayette County, AR"	"05073"	"Jan, 1979"	"1979/01"	7790.65	310	3038.70	13294.70
	"Lafayette County, AR"	"05073"	"Feb, 1979"	"1979/02"	11076.32	280	2608.50	17174.00
	"Lafayette County, AR"	"05073"	"Mar, 1979"	"1979/03"	16157.63	310	7165.30	22092.30
	"Lafayette County, AR"	"05073"	"Apr, 1979"	"1979/04"	18818.84	300	7848.60	24535.50
	"Lafayette County, AR"	"05073"	"May, 1979"	"1979/05"	22495.27	310	13238.60	28226.00
	"Lafayette County, AR"	"05073"	"Jun, 1979"	"1979/06"	25861.25	300	9641.70	32129.00
	"Lafayette County, AR"	"05073"	"Jul, 1979"	"1979/07"	22699.72	310	9642.70	31215.30
	"Lafayette County, AR"	"05073"	"Aug, 1979"	"1979/08"	21429.87	310	14861.70	28727.10
	"Lafayette County, AR"	"05073"	"Sep, 1979"	"1979/09"	19699.48	300	10443.00	24772.40
	"Lafayette County, AR"	"05073"	"Oct, 1979"	"1979/10"	16840.25	310	8740.10	21099.60
	"Lafayette County, AR"	"05073"	"Nov, 1979"	"1979/11"	10745.32	300	3069.80	14489.70
	"Lafayette County, AR"	"05073"	"Dec, 1979"	"1979/12"	9203.88	310	4027.00	12178.30
"Total"	"Lafayette County, AR"	"05073"			16928.82	3650	2608.50	32129.00
	"Lawrence County, AR"	"05075"	"Jan, 1979"	"1979/01"	6994.05	310	2972.80	11451.00
	"Lawrence County, AR"	"05075"	"Feb, 1979"	"1979/02"	10629.67	280	4516.60	16041.20
	"Lawrence County, AR"	"05075"	"Mar, 1979"	"1979/03"	14808.78	310	6977.30	21309.60
	"Lawrence County, AR"	"05075"	"Apr, 1979"	"1979/04"	18816.91	300	6126.50	26037.40
	"Lawrence County, AR"	"05075"	"May, 1979"	"1979/05"	21930.25	310	9084.10	29169.50
	"Lawrence County, AR"	"05075"	"Jun, 1979"	"1979/06"	25082.53	300	8586.70	30303.40
	"Lawrence County, AR"	"05075"	"Jul, 1979"	"1979/07"	23075.36	310	14355.60	30455.50
	"Lawrence County, AR"	"05075"	"Aug, 1979"	"1979/08"	21942.87	310	13055.70	28995.80
	"Lawrence County, AR"	"05075"	"Sep, 1979"	"1979/09"	19988.22	300	6464.40	24494.10
	"Lawrence County, AR"	"05075"	"Oct, 1979"	"1979/10"	15838.68	310	9285.70	20048.40
	"Lawrence County, AR"	"05075"	"Nov, 1979"	"1979/11"	9518.02	300	3320.10	13527.90
	"Lawrence County, AR"	"05075"	"Dec, 1979"	"1979/12"	7744.40	310	2295.10	10692.10
"Total"	"Lawrence County, AR"	"05075"			16389.50	3650	2295.10	30455.50
	"Lee County, AR"	"05077"	"Jan, 1979"	"1979/01"	7533.86	248	2987.70	12083.50
	"Lee County, AR"	"05077"	"Feb, 1979"	"1979/02"	10132.19	224	4561.60	16068.10
	"Lee County, AR"	"05077"	"Mar, 1979"	"1979/03"	15925.91	248	5499.90	21824.00
	"Lee County, AR"	"05077"	"Apr, 1979"	"1979/04"	19223.80	240	7170.40	26006.90
	"Lee County, AR"	"05077"	"May, 1979"	"1979/05"	22108.30	248	9637.00	30315.20
	"Lee County, AR"	"05077"	"Jun, 1979"	"1979/06"	25761.16	240	10640.20	31658.50
	"Lee County, AR"	"05077"	"Jul, 1979"	"1979/07"	23285.57	248	15958.80	32360.10
	"Lee County, AR"	"05077"	"Aug, 1979"	"1979/08"	21905.85	248	13972.90	29550.50
	"Lee County, AR"	"05077"	"Sep, 1979"	"1979/09"	19547.52	240	7533.60	24717.30
	"Lee County, AR"	"05077"	"Oct, 1979"	"1979/10"	16588.20	248	6501.10	20492.90
	"Lee County, AR"	"05077"	"Nov, 1979"	"1979/11"	10418.26	240	3055.60	14271.20
	"Lee County, AR"	"05077"	"Dec, 1979"	"1979/12"	8019.19	248	3214.60	10751.50
"Total"	"Lee County, AR"	"05077"			16735.88	2920	2987.70	32360.10
	"Lincoln County, AR"	"05079"	"Jan, 1979"	"1979/01"	7737.06	372	2915.40	12564.10
	"Lincoln County, AR"	"05079"	"Feb, 1979"	"1979/02"	10671.10	336	3564.00	16908.00
	"Lincoln County, AR"	"05079"	"Mar, 1979"	"1979/03"	16355.85	372	5688.30	22281.20
	"Lincoln County, AR"	"05079"	"Apr, 1979"	"1979/04"	19076.52	360	7762.00	25648.20
	"Lincoln County, AR"	"05079"	"May, 1979"	"1979/05"	22069.18	372	11455.30	29225.10
	"Lincoln County, AR"	"05079"	"Jun, 1979"	"1979/06"	26685.55	360	11409.00	32723.50
	"Lincoln County, AR"	"05079"	"Jul, 1979"	"1979/07"	23333.47	372	14840.40	32859.00
	"Lincoln County, AR"	"05079"	"Aug, 1979"	"1979/08"	22101.56	372	13351.80	29178.80
	"Lincoln County, AR"	"05079"	"Sep, 1979"	"1979/09"	19771.39	360	9266.50	25203.40
	"Lincoln County, AR"	"05079"	"Oct, 1979"	"1979/10"	16847.16	372	8407.10	21027.20
	"Lincoln County, AR"	"05079"	"Nov, 1979"	"1979/11"	10765.86	360	3933.60	14657.10
	"Lincoln County, AR"	"05079"	"Dec, 1979"	"1979/12"	8400.34	372	2743.50	11394.60
"Total"	"Lincoln County, AR"	"05079"			17013.57	4380	2743.50	32859.00
	"Little River County, AR"	"05081"	"Jan, 1979"	"1979/01"	7447.58	217	2952.80	12766.90
	"Little River County, AR"	"05081"	"Feb, 1979"	"1979/02"	11087.09	196	2602.00	16956.90
	"Little River County, AR"	"05081"	"Mar, 1979"	"1979/03"	15737.24	217	8680.90	21693.30
	"Little River County, AR"	"05081"	"Apr, 1979"	"1979/04"	18717.78	210	8524.40	24135.70
	"Little River County, AR"	"05081"	"May, 1979"	"1979/05"	21512.22	217	12277.20	27348.20
	"Little River County, AR"	"05081"	"Jun, 1979"	"1979/06"	25273.34	210	8861.70	30836.20
	"Little River County, AR"	"05081"	"Jul, 1979"	"1979/07"	23304.02	217	9509.40	31026.50
	"Little River County, AR"	"05081"	"Aug, 1979"	"1979/08"	21879.64	217	13532.50	28452.00
	"Little River County, AR"	"05081"	"Sep, 1979"	"1979/09"	19581.32	210	6948.70	24182.50
	"Little River County, AR"	"05081"	"Oct, 1979"	"1979/10"	16176.78	217	8444.00	20457.70
	"Little River County, AR"	"05081"	"Nov, 1979"	"1979/11"	10204.93	210	4508.70	14000.40
	"Little River County, AR"	"05081"	"Dec, 1979"	"1979/12"	8945.78	217	2846.20	11768.70
"Total"	"Little River County, AR"	"05081"			16681.81	2555	2602.00	31026.50
	"Logan County, AR"	"05083"	"Jan, 1979"	"1979/01"	7313.59	372	2456.10	12744.70
	"Logan County, AR"	"05083"	"Feb, 1979"	"1979/02"	11567.51	336	2744.20	16664.80
	"Logan County, AR"	"05083"	"Mar, 1979"	"1979/03"	14947.57	372	5704.80	21314.70
	"Logan County, AR"	"05083"	"Apr, 1979"	"1979/04"	18403.58	360	6094.60	25768.70
	"Logan County, AR"	"05083"	"May, 1979"	"1979/05"	20538.99	372	7357.60	27333.60
	"Logan County, AR"	"05083"	"Jun, 1979"	"1979/06"	23886.60	360	9672.20	29552.70
	"Logan County, AR"	"05083"	"Jul, 1979"	"1979/07"	22699.47	372	9155.70	29900.10
	"Logan County, AR"	"05083"	"Aug, 1979"	"1979/08"	21832.12	372	14138.30	27798.20
	"Logan County, AR"	"05083"	"Sep, 1979"	"1979/09"	20282.82	360	7415.60	24111.20
	"Logan County, AR"	"05083"	"Oct, 1979"	"1979/10"	15740.37	372	7495.90	20232.90
	"Logan County, AR"	"05083"	"Nov, 1979"	"1979/11"	9946.83	360	3424.00	14423.50
	"Logan County, AR"	"05083"	"Dec, 1979"	"1979/12"	8421.82	372	2428.50	11392.70
"Total"	"Logan County, AR"	"05083"			16317.25	4380	2428.50	29900.10
	"Lonoke County, AR"	"05085"	"Jan, 1979"	"1979/01"	7610.39	403	3249.10	12416.40
	"Lonoke County, AR"	"05085"	"Feb, 1979"	"1979/02"	10589.02	364	4058.30	16165.60
	"Lonoke County, AR"	"05085"	"Mar, 1979"	"1979/03"	15755.17	403	7139.30	22029.00
	"Lonoke County, AR"	"05085"	"Apr, 1979"	"1979/04"	19389.80	390	7332.50	25943.90
	"Lonoke County, AR"	"05085"	"May, 1979"	"1979/05"	21573.26	403	12527.20	29365.70
	"Lonoke County, AR"	"05085"	"Jun, 1979"	"1979/06"	25834.91	390	10633.40	31552.00
	"Lonoke County, AR"	"05085"	"Jul, 1979"	"1979/07"	23043.85	403	12461.70	32086.50
	"Lonoke County, AR"	"05085"	"Aug, 1979"	"1979/08"	22312.39	403	13067.10	29545.60
	"Lonoke County, AR"	"05085"	"Sep, 1979"	"1979/09"	20013.58	390	8576.00	24938.00
	"Lonoke County, AR"	"05085"	"Oct, 1979"	"1979/10"	16082.67	403	9152.70	20413.50
	"Lonoke County, AR"	"05085"	"Nov, 1979"	"1979/11"	10064.45	390	2824.50	14238.90
	"Lonoke County, AR"	"05085"	"Dec, 1979"	"1979/12"	8177.11	403	2764.10	11007.80
"Total"	"Lonoke County, AR"	"05085"			16730.89	4745	2764.10	32086.50
	"Madison County, AR"	"05087"	"Jan, 1979"	"1979/01"	7310.37	465	2123.50	12262.20
	"Madison County, AR"	"05087"	"Feb, 1979"	"1979/02"	11619.01	420	4043.30	15772.50
	"Madison County, AR"	"05087"	"Mar, 1979"	"1979/03"	14630.18	465	6456.30	20489.10
	"Madison County, AR"	"05087"	"Apr, 1979"	"1979/04"	18298.41	450	6994.40	25344.50
	"Madison County, AR"	"05087"	"May, 1979"	"1979/05"	19941.18	465	6125.20	26690.50
	"Madison County, AR"	"05087"	"Jun, 1979"	"1979/06"	22812.77	450	9406.40	27284.20
	"Madison County, AR"	"05087"	"Jul, 1979"	"1979/07"	22676.25	465	6937.90	28620.10
	"Madison County, AR"	"05087"	"Aug, 1979"	"1979/08"	22960.00	465	15037.60	27167.00
	"Madison County, AR"	"05087"	"Sep, 1979"	"1979/09"	20226.23	450	5650.90	23427.60
	"Madison County, AR"	"05087"	"Oct, 1979"	"1979/10"	15198.18	465	7061.80	19572.20
	"Madison County, AR"	"05087"	"Nov, 1979"	"1979/11"	9299.55	450	3415.50	13397.30
	"Madison County, AR"	"05087"	"Dec, 1979"	"1979/12"	8067.72	465	2856.10	10829.80
"Total"	"Madison County, AR"	"05087"			16106.14	5475	2123.50	28620.10
	"Marion County, AR"	"05089"	"Jan, 1979"	"1979/01"	7176.00	279	2344.50	12018.10
	"Marion County, AR"	"05089"	"Feb, 1979"	"1979/02"	11303.90	252	4653.30	15352.70
	"Marion County, AR"	"05089"	"Mar, 1979"	"1979/03"	14878.11	279	5889.00	21289.90
	"Marion County, AR"	"05089"	"Apr, 1979"	"1979/04"	18656.97	270	7952.40	25821.00
	"Marion County, AR"	"05089"	"May, 1979"	"1979/05"	20382.97	279	5900.00	27865.50
	"Marion County, AR"	"05089"	"Jun, 1979"	"1979/06"	23811.07	270	9053.50	28716.00
	"Marion County, AR"	"05089"	"Jul, 1979"	"1979/07"	22460.74	279	9418.20	28855.60
	"Marion County, AR"	"05089"	"Aug, 1979"	"1979/08"	22807.29	279	14072.20	28129.80
	"Marion County, AR"	"05089"	"Sep, 1979"	"1979/09"	20068.39	270	5079.30	23585.10
	"Marion County, AR"	"05089"	"Oct, 1979"	"1979/10"	15677.33	279	8989.50	20329.50
	"Marion County, AR"	"05089"	"Nov, 1979"	"1979/11"	9583.23	270	3212.10	13767.10
	"Marion County, AR"	"05089"	"Dec, 1979"	"1979/12"	7819.17	279	2520.20	10859.30
"Total"	"Marion County, AR"	"05089"			16239.31	3285	2344.50	28855.60
	"Miller County, AR"	"05091"	"Jan, 1979"	"1979/01"	7686.19	310	3055.40	13287.50
	"Miller County, AR"	"05091"	"Feb, 1979"	"1979/02"	11121.08	280	2601.30	17230.60
	"Miller County, AR"	"05091"	"Mar, 1979"	"1979/03"	16057.70	310	7097.80	22123.40
	"Miller County, AR"	"05091"	"Apr, 1979"	"1979/04"	18803.45	300	8738.70	24418.30
	"Miller County, AR"	"05091"	"May, 1979"	"1979/05"	22238.15	310	13086.70	28042.10
	"Miller County, AR"	"05091"	"Jun, 1979"	"1979/06"	25832.95	300	8879.70	31958.20
	"Miller County, AR"	"05091"	"Jul, 1979"	"1979/07"	22725.05	310	9681.40	31218.70
	"Miller County, AR"	"05091"	"Aug, 1979"	"1979/08"	21367.40	310	13975.70	28616.80
	"Miller County, AR"	"05091"	"Sep, 1979"	"1979/09"	19591.42	300	8067.00	24506.80
	"Miller County, AR"	"05091"	"Oct, 1979"	"1979/10"	16625.50	310	8875.70	20972.20
	"Miller County, AR"	"05091"	"Nov, 1979"	"1979/11"	10502.72	300	3068.30	14403.00
	"Miller County, AR"	"05091"	"Dec, 1979"	"1979/12"	9138.30	310	2948.80	12128.90
"Total"	"Miller County, AR"	"05091"			16833.68	3650	2601.30	31958.20
	"Mississippi County, AR"	"05093"	"Jan, 1979"	"1979/01"	7308.25	465	2983.10	11565.00
	"Mississippi County, AR"	"05093"	"Feb, 1979"	"1979/02"	9884.17	420	4499.00	15586.50
	"Mississippi County, AR"	"05093"	"Mar, 1979"	"1979/03"	15007.84	465	6347.90	20507.30
	"Mississippi County, AR"	"05093"	"Apr, 1979"	"1979/04"	18929.84	450	6368.00	25900.20
	"Mississippi County, AR"	"05093"	"May, 1979"	"1979/05"	22438.82	465	9595.10	29936.00
	"Mississippi County, AR"	"05093"	"Jun, 1979"	"1979/06"	24789.78	450	10533.30	31242.80
	"Mississippi County, AR"	"05093"	"Jul, 1979"	"1979/07"	22218.37	465	13404.00	30945.70
	"Mississippi County, AR"	"05093"	"Aug, 1979"	"1979/08"	21075.61	465	12955.20	28656.80
	"Mississippi County, AR"	"05093"	"Sep, 1979"	"1979/09"	19454.81	450	5386.20	25149.10
	"Mississippi County, AR"	"05093"	"Oct, 1979"	"1979/10"	16173.39	465	6662.60	20154.10
	"Mississippi County, AR"	"05093"	"Nov, 1979"	"1979/11"	9625.81	450	3201.60	13506.30
	"Mississippi County, AR"	"05093"	"Dec, 1979"	"1979/12"	8073.39	465	2436.30	10926.70
"Total"	"Mississippi County, AR"	"05093"			16279.26	5475	2436.30	31242.80
	"Monroe County, AR"	"05095"	"Jan, 1979"	"1979/01"	7586.03	279	3058.50	12251.10
	"Monroe County, AR"	"05095"	"Feb, 1979"	"1979/02"	10402.23	252	4119.00	16185.70
	"Monroe County, AR"	"05095"	"Mar, 1979"	"1979/03"	15972.42	279	5579.80	21879.20
	"Monroe County, AR"	"05095"	"Apr, 1979"	"1979/04"	19407.56	270	7297.50	26012.30
	"Monroe County, AR"	"05095"	"May, 1979"	"1979/05"	21894.51	279	10287.70	30212.80
	"Monroe County, AR"	"05095"	"Jun, 1979"	"1979/06"	25958.15	270	10985.40	31885.40
	"Monroe County, AR"	"05095"	"Jul, 1979"	"1979/07"	23465.60	279	15398.50	32713.00
	"Monroe County, AR"	"05095"	"Aug, 1979"	"1979/08"	22276.50	279	13775.00	29798.10
	"Monroe County, AR"	"05095"	"Sep, 1979"	"1979/09"	19630.35	270	9154.40	24757.60
	"Monroe County, AR"	"05095"	"Oct, 1979"	"1979/10"	16449.06	279	6892.70	20686.60
	"Monroe County, AR"	"05095"	"Nov, 1979"	"1979/11"	10334.10	270	2991.10	14320.20
	"Monroe County, AR"	"05095"	"Dec, 1979"	"1979/12"	8101.88	279	3047.10	10798.50
"Total"	"Monroe County, AR"	"05095"			16819.98	3285	2991.10	32713.00
	"Montgomery County, AR"	"05097"	"Jan, 1979"	"1979/01"	7456.16	372	2801.10	12712.20
	"Montgomery County, AR"	"05097"	"Feb, 1979"	"1979/02"	11234.54	336	2632.00	16502.80
	"Montgomery County, AR"	"05097"	"Mar, 1979"	"1979/03"	15215.13	372	8609.70	20912.20
	"Montgomery County, AR"	"05097"	"Apr, 1979"	"1979/04"	18331.28	360	5972.80	24190.20
	"Montgomery County, AR"	"05097"	"May, 1979"	"1979/05"	20458.35	372	8338.20	26903.10
	"Montgomery County, AR"	"05097"	"Jun, 1979"	"1979/06"	23970.57	360	7218.30	29070.80
	"Montgomery County, AR"	"05097"	"Jul, 1979"	"1979/07"	22409.07	372	8761.20	29913.00
	"Montgomery County, AR"	"05097"	"Aug, 1979"	"1979/08"	22115.52	372	14028.10	27448.00
	"Montgomery County, AR"	"05097"	"Sep, 1979"	"1979/09"	20091.68	360	8008.60	24062.60
	"Montgomery County, AR"	"05097"	"Oct, 1979"	"1979/10"	15669.18	372	9306.00	20210.40
	"Montgomery County, AR"	"05097"	"Nov, 1979"	"1979/11"	10114.46	360	4138.40	14278.90
	"Montgomery County, AR"	"05097"	"Dec, 1979"	"1979/12"	8433.65	372	2574.20	11169.00
"Total"	"Montgomery County, AR"	"05097"			16313.08	4380	2574.20	29913.00
	"Nevada County, AR"	"05099"	"Jan, 1979"	"1979/01"	7806.46	310	3287.10	12836.10
	"Nevada County, AR"	"05099"	"Feb, 1979"	"1979/02"	11075.15	280	2875.90	17136.10
	"Nevada County, AR"	"05099"	"Mar, 1979"	"1979/03"	16288.41	310	8737.20	22250.60
	"Nevada County, AR"	"05099"	"Apr, 1979"	"1979/04"	18829.88	300	6880.20	24529.20
	"Nevada County, AR"	"05099"	"May, 1979"	"1979/05"	21890.75	310	10911.10	28258.10
	"Nevada County, AR"	"05099"	"Jun, 1979"	"1979/06"	25513.19	300	8032.00	31572.60
	"Nevada County, AR"	"05099"	"Jul, 1979"	"1979/07"	22574.19	310	9524.00	30969.60
	"Nevada County, AR"	"05099"	"Aug, 1979"	"1979/08"	21390.46	310	13461.90	28316.30
	"Nevada County, AR"	"05099"	"Sep, 1979"	"1979/09"	19580.69	300	6876.00	24625.80
	"Nevada County, AR"	"05099"	"Oct, 1979"	"1979/10"	16677.29	310	8648.90	21182.50
	"Nevada County, AR"	"05099"	"Nov, 1979"	"1979/11"	10889.59	300	3587.80	14802.00
	"Nevada County, AR"	"05099"	"Dec, 1979"	"1979/12"	9064.14	310	3410.60	12089.60
"Total"	"Nevada County, AR"	"05099"			16824.51	3650	2875.90	31572.60
	"Newton County, AR"	"05101"	"Jan, 1979"	"1979/01"	7311.74	403	2439.10	12342.90
	"Newton County, AR"	"05101"	"Feb, 1979"	"1979/02"	11608.14	364	4019.30	15554.40
	"Newton County, AR"	"05101"	"Mar, 1979"	"1979/03"	14787.12	403	6288.30	20833.50
	"Newton County, AR"	"05101"	"Apr, 1979"	"1979/04"	18546.61	390	7366.50	25385.70
	"Newton County, AR"	"05101"	"May, 1979"	"1979/05"	20124.27	403	6132.90	26861.80
	"Newton County, AR"	"05101"	"Jun, 1979"	"1979/06"	23108.92	390	8134.20	27914.60
	"Newton County, AR"	"05101"	"Jul, 1979"	"1979/07"	22209.75	403	6307.50	28459.10
	"Newton County, AR"	"05101"	"Aug, 1979"	"1979/08"	23037.20	403	15057.00	27463.80
	"Newton County, AR"	"05101"	"Sep, 1979"	"1979/09"	20019.25	390	5051.10	23320.70
	"Newton County, AR"	"05101"	"Oct, 1979"	"1979/10"	15452.97	403	8570.40	19745.50
	"Newton County, AR"	"05101"	"Nov, 1979"	"1979/11"	9523.17	390	3388.10	13571.00
	"Newton County, AR"	"05101"	"Dec, 1979"	"1979/12"	8015.65	403	2655.60	10832.10
"Total"	"Newton County, AR"	"05101"			16164.56	4745	2439.10	28459.10
	"Ouachita County, AR"	"05103"	"Jan, 1979"	"1979/01"	7798.45	434	3054.90	12807.90
	"Ouachita County, AR"	"05103"	"Feb, 1979"	"1979/02"	10909.60	392	2843.50	17013.00
	"Ouachita County, AR"	"05103"	"Mar, 1979"	"1979/03"	16441.86	434	7221.20	22432.20
	"Ouachita County, AR"	"05103"	"Apr, 1979"	"1979/04"	19071.23	420	6745.30	25365.50
	"Ouachita County, AR"	"05103"	"May, 1979"	"1979/05"	22113.92	434	12289.80	28452.90
	"Ouachita County, AR"	"05103"	"Jun, 1979"	"1979/06"	25804.13	420	8679.00	31933.80
	"Ouachita County, AR"	"05103"	"Jul, 1979"	"1979/07"	22836.75	434	11154.20	31503.50
	"Ouachita County, AR"	"05103"	"Aug, 1979"	"1979/08"	21578.01	434	14709.50	28528.10
	"Ouachita County, AR"	"05103"	"Sep, 1979"	"1979/09"	19633.88	420	8617.10	24894.40
	"Ouachita County, AR"	"05103"	"Oct, 1979"	"1979/10"	16948.75	434	8951.40	21264.00
	"Ouachita County, AR"	"05103"	"Nov, 1979"	"1979/11"	11082.75	420	3492.10	15005.90
	"Ouachita County, AR"	"05103"	"Dec, 1979"	"1979/12"	9062.26	434	3216.80	12095.10
"Total"	"Ouachita County, AR"	"05103"			16968.24	5110	2843.50	31933.80
	"Perry County, AR"	"05105"	"Jan, 1979"	"1979/01"	7499.17	341	2755.80	12748.40
	"Perry County, AR"	"05105"	"Feb, 1979"	"1979/02"	11138.15	308	3255.40	16223.70
	"Perry County, AR"	"05105"	"Mar, 1979"	"1979/03"	15303.37	341	9774.70	21394.70
	"Perry County, AR"	"05105"	"Apr, 1979"	"1979/04"	18590.18	330	6789.40	25443.40
	"Perry County, AR"	"05105"	"May, 1979"	"1979/05"	21180.74	341	9689.00	28118.70
	"Perry County, AR"	"05105"	"Jun, 1979"	"1979/06"	24672.85	330	7494.60	29740.30
	"Perry County, AR"	"05105"	"Jul, 1979"	"1979/07"	22288.50	341	7905.30	29855.40
	"Perry County, AR"	"05105"	"Aug, 1979"	"1979/08"	21949.37	341	13090.10	28250.00
	"Perry County, AR"	"05105"	"Sep, 1979"	"1979/09"	20078.71	330	7519.30	24400.10
	"Perry County, AR"	"05105"	"Oct, 1979"	"1979/10"	15976.29	341	9124.60	20222.50
	"Perry County, AR"	"05105"	"Nov, 1979"	"1979/11"	10103.27	330	2968.50	14370.40
	"Perry County, AR"	"05105"	"Dec, 1979"	"1979/12"	8276.13	341	2437.20	11199.90
"Total"	"Perry County, AR"	"05105"			16443.56	4015	2437.20	29855.40
	"Phillips County, AR"	"05107"	"Jan, 1979"	"1979/01"	7656.86	341	2749.50	12349.60
	"Phillips County, AR"	"05107"	"Feb, 1979"	"1979/02"	10250.09	308	4076.30	16194.50
	"Phillips County, AR"	"05107"	"Mar, 1979"	"1979/03"	16170.76	341	5423.00	22021.70
	"Phillips County, AR"	"05107"	"Apr, 1979"	"1979/04"	19217.89	330	8107.60	26133.40
	"Phillips County, AR"	"05107"	"May, 1979"	"1979/05"	22344.29	341	9599.90	30292.40
	"Phillips County, AR"	"05107"	"Jun, 1979"	"1979/06"	26211.31	330	11343.80	32452.00
	"Phillips County, AR"	"05107"	"Jul, 1979"	"1979/07"	23471.06	341	15655.10	33051.50
	"Phillips County, AR"	"05107"	"Aug, 1979"	"1979/08"	22108.08	341	14456.10	29618.80
	"Phillips County, AR"	"05107"	"Sep, 1979"	"1979/09"	19566.76	330	8807.90	24992.30
	"Phillips County, AR"	"05107"	"Oct, 1979"	"1979/10"	16923.66	341	6562.70	21078.70
	"Phillips County, AR"	"05107"	"Nov, 1979"	"1979/11"	10641.38	330	3098.60	14543.90
	"Phillips County, AR"	"05107"	"Dec, 1979"	"1979/12"	8125.02	341	2915.20	10926.60
"Total"	"Phillips County, AR"	"05107"			16923.05	4015	2749.50	33051.50
	"Pike County, AR"	"05109"	"Jan, 1979"	"1979/01"	7533.00	310	3131.00	12695.90
